judge,query_id,system,R1,R2,R3,R4,R5,total,comment
Claude,DG-001,System A,4,3,3,3,3,16,Honest about gaps; some off-topic papers (cervical UBE thoracic OPLL)
Claude,DG-001,System B,4,4,4,4,4,20,Better meta-analyses; specific numerical data (185.74 vs 395.31 mL)
Claude,DG-002,System A,5,5,5,4,5,24,Excellent synthesis with ORs/RRs; radiological vs symptomatic ASD distinction
Claude,DG-002,System B,4,4,5,4,4,21,Good but less comprehensive; some redundancy
Claude,DG-003,System A,4,4,3,3,4,18,Good risk factors; some tangential BMP papers; useful subsidence rate table
Claude,DG-003,System B,4,4,3,3,4,18,Comparable; better biomechanical detail (double vs single cage)
Claude,DG-004,System A,4,5,5,4,5,23,Strong network meta-analysis citations; well-organized summary table
Claude,DG-004,System B,5,4,4,3,4,20,More cautious conclusions; some citation mismatch
Claude,DG-005,System A,5,5,5,4,5,24,Outstanding: dose-dependent effects; cancer risk addressed; comprehensive
Claude,DG-005,System B,4,4,3,3,3,17,Fails to address cancer risk despite paper availability
Claude,DG-006,System A,4,4,5,4,5,22,Well-structured; clear laminoplasty advantages; honest about RCT lack
Claude,DG-006,System B,4,4,5,3,5,21,Adds OPLL distinction; 2 off-topic papers (reperfusion thoracolumbar)
Claude,DG-007,System A,4,3,4,3,3,17,No RCTs exist; OLIF vs TLIF meta-analysis well cited
Claude,DG-007,System B,4,3,4,3,3,17,Same core finding; similar paper overlap; comparable quality
Claude,DG-008,System A,5,4,4,3,4,20,Accurate ESI summary; 4 off-topic papers (metastatic infections fractures)
Claude,DG-008,System B,5,5,5,4,5,24,All papers on-topic; includes guideline and stepwise algorithm
Claude,DG-009,System A,5,5,4,4,4,22,Specific accuracy %; facet joint violation; radiation exposure; manufacturer bias
Claude,DG-009,System B,4,3,4,3,3,17,Key finding correct but less detailed; lower evidence quality
Claude,DG-010,System A,4,4,3,3,4,18,Learning curve 17 cases; acknowledges FELD/PELD gap
Claude,DG-010,System B,4,4,4,3,4,19,20-25 case threshold from SR; complication stratification by phase
Claude,DF-001,System A,4,3,3,4,3,17,Honest about gaps; contextually relevant papers
Claude,DF-001,System B,3,3,2,3,3,14,Lower evidence levels (4s 5s); irrelevant papers (UBE framework robotic nav)
Claude,DF-002,System A,4,4,4,4,4,20,Good PJF 5.6%; specific risk factors with ORs; misses sarcopenia BMI
Claude,DF-002,System B,5,5,4,4,5,23,Comprehensive 17-61.7% from SR; sarcopenia Hounsfield units; modifiable vs non-modifiable
Claude,DF-003,System A,5,4,5,4,4,22,Strong PVCR correction 75.3deg; Roussouly matching 78% complication reduction
Claude,DF-003,System B,4,3,3,3,3,16,Only 5 papers; misattributes ACR data
Claude,DF-004,System A,3,2,3,3,2,13,Correctly identifies evidence gap; some irrelevant papers
Claude,DF-004,System B,3,2,3,3,2,13,Also identifies gap; tangentially relevant papers
Claude,DF-005,System A,4,3,3,4,3,17,Good ALIF vs TLIF lordosis data; limited scope 7 papers
Claude,DF-005,System B,5,4,5,4,4,22,5 meta-analyses; rod fracture 4.4%; alignment durability PJK data
Claude,GR-001,System A,3,4,4,4,3,18,Lists 9 techniques from NMA; lacks specific complication rates
Claude,GR-001,System B,4,5,5,4,5,23,Actual complication rates 10-24%; SUCRA rankings; clinically actionable
Claude,GR-002,System A,3,2,3,3,2,13,Very limited TLIF vs PLIF; most papers compare TLIF to OLIF/ALIF/LLIF
Claude,GR-002,System B,4,4,4,4,4,20,Broader: fusion 95.7%; complication 8-80% avg 36.4%; cost data
Claude,GR-003,System A,4,4,4,4,4,20,Good evidence chain; pathology subtypes; operative metrics
Claude,GR-003,System B,5,5,5,5,5,25,Exceptional: VAS ODI blood loss wound complications muscle preservation recurrence
Claude,GR-004,System A,4,4,4,4,4,20,ACDF primary comparator; lists shared outcomes
Claude,GR-004,System B,5,5,5,5,5,25,6 outcome domains; perioperative measures; QoL; comprehensive
Claude,GR-005,System A,3,3,3,3,3,15,Cervical literature inappropriately included; 70% fusion odds useful
Claude,GR-005,System B,5,4,5,4,5,23,Strong fusion rates ALIF 88.2% PLF 83.1%; network meta-analysis; actionable
Claude,TR-001,System A,3,3,3,3,3,15,Citation conflict on pubmed_39560536; Level 1a unused; misses QoL
Claude,TR-001,System B,4,4,4,3,5,20,2 RCTs; actionable favor SSF/LSF guidance; one irrelevant paper
Claude,TU-001,System A,3,2,2,1,2,10,6/10 papers off-topic (deformity PSO AR alignment); only 4 relevant
Claude,TU-001,System B,4,4,4,4,5,21,All 6 papers on-topic; NOMS framework; SINS subcomponent analysis
Claude,BS-002,System A,4,2,2,4,2,14,Accurate but thin; only 4 papers (3 Level 5); no mechanistic detail
Claude,BS-002,System B,4,4,3,3,4,18,Broader coverage; specific quantitative outcomes; 3/10 fusion biologics off-topic
