judge,query_id,question_kr,system,H1_fabricated_ref,H2_misattributed,H3_unsupported,H4_numerical,H5_overall_risk,total,fabricated_count,unsupported_count,comment
GPT,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System A,1,2,1,2,2,8,15,20,LLM-only; 15 unverifiable author-year citations; high hallucination risk
GPT,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System B,5,5,3,4,4,21,0,4,4 papers retrieved; some uncited synthesis; generally reliable
GPT,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System C,5,5,5,4,5,24,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System D,3,3,3,3,3,15,2,4,10 papers retrieved; some uncited synthesis; moderate verification needed
GPT,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System A,5,5,5,5,5,25,0,0,10 papers retrieved; claims mostly grounded; low hallucination risk
GPT,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System B,1,2,1,2,2,8,34,20,LLM-only; 34 unverifiable author-year citations; high hallucination risk
GPT,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System C,5,5,2,4,3,19,0,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
GPT,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System D,5,5,4,4,4,22,0,2,8 papers retrieved; claims mostly grounded; generally reliable
GPT,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System A,5,5,3,4,4,21,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System B,5,5,3,4,4,21,0,4,10 papers retrieved; some uncited synthesis; generally reliable
GPT,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System C,4,4,1,2,2,13,0,20,LLM-only; no verifiable citations in answer body; high hallucination risk
GPT,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System D,3,3,2,3,3,14,2,7,10 papers retrieved; substantial unsupported synthesis; moderate verification needed
