judge,query_id,system,R1,R2,R3,R4,R5,total,comment
Claude,DG-001,System A,4,4,4,4,4,20,Well-organized with quantitative data; honestly acknowledges fusion rate gap
Claude,DG-001,System B,4,5,5,4,5,23,Comprehensive adding fusion rates and cost-effectiveness; 97.8% ALIF fusion with rhBMP-2
Claude,DG-002,System A,4,3,4,4,3,18,Accurate Herkowitz citation; misses slip magnitude threshold
Claude,DG-002,System B,4,4,4,4,4,20,Adds 3mm slip threshold; biomechanical data; ML cluster analysis
Claude,DG-003,System A,4,3,4,4,3,18,Limited ESI efficacy portrayal; only 6 papers; lacks NNT
Claude,DG-003,System B,4,4,4,4,4,20,Specific NNT values (4 short-term 8 long-term); SRD percentages
Claude,DG-004,System A,4,4,3,4,4,19,Good cage design factors; lower evidence quality papers
Claude,DG-004,System B,4,5,4,4,5,22,3D-pTi vs PEEK (p=0.003); fixation method subsidence rates
Claude,DG-005,System A,4,4,4,4,4,20,Good dose-dependent data; cancer risk absent; HO not quantified
Claude,DG-005,System B,4,4,4,4,4,20,Adds HO incidence (1.7% revision); cancer risk addressed
Claude,CV-001,System A,4,4,4,4,4,20,Solid OR data for ASD (0.27-0.56); lacks ROM measurements
Claude,CV-001,System B,5,5,5,5,5,25,ROM WMD 10.37 degrees; constraint-level analysis; NNT; publishable
Claude,CV-002,System A,3,3,3,3,3,15,Irrelevant trauma papers; no LP vs LF comparison
Claude,CV-002,System B,4,5,4,4,5,22,LP vs LF vs LA comparison; OPLL canal occupying ratio guidance
Claude,CV-003,System A,5,5,5,5,5,25,OR 0.26 for C5 palsy; operative time 19.57 min; OPLL pattern
Claude,CV-003,System B,4,4,4,4,4,20,Accurate but less comprehensive on OPLL trade-offs
Claude,CV-004,System A,3,2,4,3,2,14,Papers don't address trauma; CSM data as surrogate
Claude,CV-004,System B,4,4,3,4,4,19,Actual subaxial injury papers; ASIA 43.9% improvement; SCBS
Claude,CV-005,System A,4,4,5,5,4,22,2.9%/yr incidence; ASD ORs; all Level 1a; prevention limited to CDA
