evaluator,query_id,question_kr,domain,type,baseline,R1_accuracy,R2_coverage,R3_evidence_level,R4_citation_verify,R5_clinical_usefulness,total,best_worst,comment
PSM,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B1,,,,,,,,
PSM,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B2,,,,,,,,
PSM,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B3,,,,,,,,
PSM,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,degenerative,comparison,B4,,,,,,,,
PSM,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B1,,,,,,,,
PSM,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B2,,,,,,,,
PSM,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B3,,,,,,,,
PSM,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,degenerative,comparison,B4,,,,,,,,
PSM,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B1,,,,,,,,
PSM,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B2,,,,,,,,
PSM,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B3,,,,,,,,
PSM,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,degenerative,complication,B4,,,,,,,,
PSM,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B1,,,,,,,,
PSM,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B2,,,,,,,,
PSM,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B3,,,,,,,,
PSM,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,degenerative,comparison,B4,,,,,,,,
PSM,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B1,,,,,,,,
PSM,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B2,,,,,,,,
PSM,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B3,,,,,,,,
PSM,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",degenerative,single_evidence,B4,,,,,,,,
