judge,query_id,question_kr,system,H1_fabricated_ref,H2_misattributed,H3_unsupported,H4_numerical,H5_overall_risk,total,fabricated_count,unsupported_count,comment
Gemini,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System A,2,1,5,2,1,11,18,0,No retrieved papers; high hallucination risk. Contains ~18 potentially unverifiable citations.
Gemini,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System B,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System C,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System D,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System B,2,1,5,2,1,11,34,0,No retrieved papers; high hallucination risk. Contains ~34 potentially unverifiable citations.
Gemini,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System C,5,3,3,5,4,20,0,4,"Mostly reliable, minor unsupported claims."
Gemini,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System D,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System A,5,5,5,4,5,24,0,0,All citations from database; well-grounded.
Gemini,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System B,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System C,2,1,5,2,1,11,44,0,No retrieved papers; high hallucination risk. Contains ~44 potentially unverifiable citations.
Gemini,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System D,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System A,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
Gemini,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System B,2,1,5,2,1,11,33,0,No retrieved papers; high hallucination risk. Contains ~33 potentially unverifiable citations.
Gemini,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System C,5,5,5,5,5,25,0,0,All citations from database; well-grounded.
