judge,query_id,question_kr,system,R1_accuracy,R2_coverage,R3_evidence_level,R4_citation_verify,R5_clinical_usefulness,total,best_worst,comment
Gemini,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,System A,,,,,,,,
Gemini,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,System B,,,,,,,,
Gemini,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,System C,,,,,,,,
Gemini,DG-001,요추 척추관 협착증에서 UBE vs 기존 TLIF의 ODI 개선 및 합병증 비교 근거는?,System D,,,,,,,,
Gemini,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,System A,,,,,,,,
Gemini,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,System B,,,,,,,,
Gemini,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,System C,,,,,,,,
Gemini,DG-002,2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행 비교 근거는?,System D,,,,,,,,
Gemini,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,System A,,,,,,,,
Gemini,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,System B,,,,,,,,
Gemini,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,System C,,,,,,,,
Gemini,DG-003,MIS-TLIF 후 cage subsidence의 위험인자와 임상 결과에 대한 영향은?,System D,,,,,,,,
Gemini,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,System A,,,,,,,,
Gemini,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,System B,,,,,,,,
Gemini,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,System C,,,,,,,,
Gemini,DG-004,요추 추간판 탈출증 수술: 미세현미경 vs 내시경 추간판절제술의 결과 비교 근거는?,System D,,,,,,,,
Gemini,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",System A,,,,,,,,
Gemini,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",System B,,,,,,,,
Gemini,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",System C,,,,,,,,
Gemini,DG-005,"요추 추체간 유합술에서 BMP-2 사용의 유합률, 합병증, 암 위험 근거는?",System D,,,,,,,,
Gemini,DG-006,다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 역할과 어느 접근법이 우수한가?,System A,,,,,,,,
Gemini,DG-006,다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 역할과 어느 접근법이 우수한가?,System B,,,,,,,,
Gemini,DG-006,다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 역할과 어느 접근법이 우수한가?,System C,,,,,,,,
Gemini,DG-006,다분절 경추 척수증에서 후궁성형술 vs 후궁절제+유합술의 역할과 어느 접근법이 우수한가?,System D,,,,,,,,
Gemini,DG-007,퇴행성 척추전방전위증에서 LLIF/XLIF vs TLIF 비교 최신 RCT 근거는?,System A,,,,,,,,
Gemini,DG-007,퇴행성 척추전방전위증에서 LLIF/XLIF vs TLIF 비교 최신 RCT 근거는?,System B,,,,,,,,
Gemini,DG-007,퇴행성 척추전방전위증에서 LLIF/XLIF vs TLIF 비교 최신 RCT 근거는?,System C,,,,,,,,
Gemini,DG-007,퇴행성 척추전방전위증에서 LLIF/XLIF vs TLIF 비교 최신 RCT 근거는?,System D,,,,,,,,
Gemini,DG-008,요추 척추관 협착증에서 경막외 스테로이드 주사의 효과와 수술 권유 시점에 대한 근거는?,System A,,,,,,,,
Gemini,DG-008,요추 척추관 협착증에서 경막외 스테로이드 주사의 효과와 수술 권유 시점에 대한 근거는?,System B,,,,,,,,
Gemini,DG-008,요추 척추관 협착증에서 경막외 스테로이드 주사의 효과와 수술 권유 시점에 대한 근거는?,System C,,,,,,,,
Gemini,DG-008,요추 척추관 협착증에서 경막외 스테로이드 주사의 효과와 수술 권유 시점에 대한 근거는?,System D,,,,,,,,
Gemini,DG-009,로봇 보조 척추경 나사못 삽입 vs 프리핸드 기법의 임상 결과 및 합병증 비교는?,System A,,,,,,,,
Gemini,DG-009,로봇 보조 척추경 나사못 삽입 vs 프리핸드 기법의 임상 결과 및 합병증 비교는?,System B,,,,,,,,
Gemini,DG-009,로봇 보조 척추경 나사못 삽입 vs 프리핸드 기법의 임상 결과 및 합병증 비교는?,System C,,,,,,,,
Gemini,DG-009,로봇 보조 척추경 나사못 삽입 vs 프리핸드 기법의 임상 결과 및 합병증 비교는?,System D,,,,,,,,
Gemini,DG-010,전내시경 요추 추간판절제술(FELD/PELD)의 학습 곡선과 결과에 미치는 영향 근거는?,System A,,,,,,,,
Gemini,DG-010,전내시경 요추 추간판절제술(FELD/PELD)의 학습 곡선과 결과에 미치는 영향 근거는?,System B,,,,,,,,
Gemini,DG-010,전내시경 요추 추간판절제술(FELD/PELD)의 학습 곡선과 결과에 미치는 영향 근거는?,System C,,,,,,,,
Gemini,DG-010,전내시경 요추 추간판절제술(FELD/PELD)의 학습 곡선과 결과에 미치는 영향 근거는?,System D,,,,,,,,
