judge,query_id,question_kr,system,R1_accuracy,R2_coverage,R3_evidence_level,R4_citation_verify,R5_clinical_usefulness,total,comment
Claude,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System A,3,4,2,1,3,13,0 papers retrieved; LLM-only response with plausible but unverifiable citations
Claude,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System B,3,3,3,4,3,16,4 papers retrieved; covers translation gap and clinical landscape; less comprehensive
Claude,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System C,4,4,4,4,4,20,10 papers (1b-5); Phase IIB RCT finding radiological-clinical disconnect; well-cited
Claude,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System D,2,1,1,2,1,7,10 papers but 9/10 irrelevant; only senescence study relevant; honest acknowledgment
Claude,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System A,5,5,5,5,5,25,10 papers all 1a; comprehensive fusion rate hierarchy with ORs and p-values; procedure-specific data
Claude,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System B,3,4,2,1,3,13,0 papers; LLM-only with named citations from memory; plausible but unverifiable
Claude,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System C,1,1,1,3,1,7,10 papers all irrelevant (surgical technique comparisons); honestly states no evidence
Claude,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System D,4,4,4,4,4,20,8 papers relevant; network meta-analysis hierarchy; fusion rates 88.5-100% for rhBMP-2
Claude,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System A,4,3,3,4,3,17,10 papers; specific biomarkers (MMP9/HPGD/UCHL1); quantitative values; imaging correlation limited
Claude,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System B,4,4,3,4,3,18,10 papers; comprehensive inflammatory cascade and ferroptosis pathway; well-cited biomarker panel
Claude,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System C,4,5,2,1,4,16,0 papers; extremely comprehensive LLM response covering genetics/epigenetics; all citations from memory
Claude,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System D,3,3,3,3,2,14,10 papers mixed relevance; ferroptosis pathway and radiomic signatures covered; limited imaging correlation
Claude,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System A,4,4,3,4,3,18,10 papers; covers stem cells scaffolds neurotrophic factors; clinical evidence limited but honest
Claude,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System B,3,5,2,1,4,15,0 papers; comprehensive LLM response including NASCIS riluzole 4-AP; all citations unverifiable
Claude,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System C,1,1,1,2,1,6,10 papers all irrelevant (SINS C5 palsy deformity); honestly states no relevant evidence
Claude,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System D,4,4,4,4,3,19,10 papers; 7 relevant preclinical + 2 meta-analyses on surgical timing; good scaffold coverage
