judge,query_id,question_kr,system,H1_fabricated_ref,H2_misattributed,H3_unsupported,H4_numerical,H5_overall_risk,total,fabricated_count,unsupported_count,comment
Claude,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System A,1,2,2,3,2,10,18,12,0 papers; cites 18+ Author-Year refs without IDs; specific VAS numbers unverifiable
Claude,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System B,5,4,4,4,4,21,0,1,All citations use pubmed IDs; claims align with paper titles; minor gap in trial count sourcing
Claude,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System C,5,4,4,4,4,21,0,1,All pubmed IDs; notes when values not in abstracts; honestly flags evidence gaps
Claude,BS-001,"추간판 퇴행에서 줄기세포 치료의 현재 근거(전임상 결과, 임상시험 결과, 중개 연구 장벽 포함)는?",System D,4,3,4,4,4,19,0,1,9/10 papers irrelevant but correctly identifies; honestly states gaps; no fabrication
Claude,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System A,5,4,4,4,4,21,0,1,All pubmed IDs; detailed fusion rate table with verifiable sources; minor cost gap
Claude,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System B,1,2,2,3,1,9,25,15,0 papers; 25+ Author-Year citations without IDs; specific ORs and percentages unverifiable
Claude,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System C,5,5,5,5,5,25,0,0,Correctly identifies no papers address question; exemplary honesty about evidence gaps
Claude,BS-002,"척추 유합에서 자가골 vs 동종골 vs 합성 골이식 대체물의 유합률, 생물학, 임상 결과 비교 근거는?",System D,5,4,4,4,4,21,0,1,8 papers with pubmed IDs; fusion hierarchy clearly sourced; minor unsupported autograft claim
Claude,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System A,5,4,4,4,4,21,0,1,All pubmed IDs; biomarker data correctly attributed; evidence gaps stated
Claude,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System B,5,4,4,4,4,21,0,1,All pubmed IDs; molecular pathway descriptions well-sourced; miRNA data properly attributed
Claude,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System C,1,2,2,3,1,9,30,20,0 papers; 30+ Author-Year citations; specific kappa and T2 values all unverifiable; would mislead surgeon
Claude,BS-003,"추간판 퇴행 기전에 대한 현재 이해(분자 경로, 바이오마커, 영상 소견과의 상관관계 포함)는?",System D,5,4,4,4,4,21,0,1,All pubmed IDs; ferroptosis pathway properly sourced; notes level 5 evidence honestly
Claude,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System A,5,4,4,4,4,21,0,1,All pubmed IDs; scaffold types and BDNF delivery correctly attributed; evidence gaps stated
Claude,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System B,1,2,2,3,1,9,30,18,0 papers; 30+ Author-Year citations; NASCIS/riluzole details from training data; no database backing
Claude,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System C,5,5,5,5,5,25,0,0,Correctly identifies no papers address topic; recommends different search terms; exemplary honesty
Claude,BS-004,"전임상 및 임상 연구에서 척수 재생 전략(스캐폴드, 신경영양인자, 신경보호제 포함)에 대한 현재 근거는?",System D,5,4,4,4,4,21,0,1,All pubmed IDs; 7 preclinical papers properly described; surgical timing distinguished from regeneration
Claude,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System A,5,4,4,4,4,21,0,1,All pubmed IDs; subsidence data properly attributed; cage size thresholds sourced to SR
Claude,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System B,1,2,2,3,1,9,22,14,0 papers; 22+ Author-Year citations; specific ORs and footprint thresholds all unverifiable
Claude,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System C,5,4,4,4,4,21,0,1,All pubmed IDs; 3D-Ti vs PEEK subsidence data properly sourced; evidence gaps listed
Claude,BS-005,"요추 추체간 유합에서 케이지 재료, 디자인, 크기가 생역학적 성능, 침하 위험, 유합 결과에 미치는 영향에 대한 근거는?",System D,5,4,4,4,4,21,0,1,All pubmed IDs; endplate quality predictor correctly sourced; cage size gap acknowledged
Claude,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System A,5,4,4,4,4,21,0,1,All pubmed IDs; minor unsupported ROM mechanism claim; numbers consistent
Claude,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System B,5,5,5,5,5,25,0,0,All pubmed IDs; claims well-attributed with specific ORs CIs; NNT transparently calculated
Claude,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System C,1,2,2,3,1,9,12,8,0 papers; cites Burkus 2009 Hisey 2015 etc without IDs; classic fabrication pattern
Claude,CV-001,"1-2분절 경추 추간판 질환에서 CDR vs ACDF의 인접분절 퇴행, 재수술률, 운동범위 보존 비교 근거는?",System D,5,4,4,5,4,22,0,1,Retrieved irrelevant papers; honestly states cannot answer; minor general claims
